X - .MC:I	Y - .MC:I	
-0.32906	-120.7	
-0.3277	-125.7	
-0.3277	-175.7	
-0.32635	-185.7	
-0.32635	-125.7	
-0.325	-120.7	
-0.325	-175.7	
-0.32364	-180.7	
-0.32364	-125.7	
-0.32229	-125.7	
-0.32229	-170.7	
-0.32093	-175.7	
-0.32093	-115.7	
-0.31958	-120.7	
-0.31958	-170.7	
-0.31822	-180.7	
-0.31822	-120.7	
-0.31687	-120.7	
-0.31687	-170.7	
-0.31552	-185.7	
-0.31552	-115.7	
-0.31416	-115.7	
-0.31416	-175.7	
-0.31281	-170.7	
-0.31281	-120.7	
-0.31146	-120.7	
-0.31146	-180.7	
-0.3101	-175.7	
-0.3101	-115.7	
-0.30875	-125.7	
-0.30875	-180.7	
-0.30739	-170.7	
-0.30739	-125.7	
-0.30604	-120.7	
-0.30604	-170.7	
-0.30468	-170.7	
-0.30468	-120.7	
-0.30333	-120.7	
-0.30333	-170.7	
-0.30198	-175.7	
-0.30198	-125.7	
-0.30062	-110.7	
-0.30062	-170.7	
-0.29926	-165.7	
-0.29926	-125.7	
-0.29791	-130.7	
-0.29791	-165.7	
-0.29656	-175.7	
-0.29656	-120.7	
-0.2952	-115.7	
-0.2952	-180.7	
-0.29385	-180.7	
-0.29385	-115.7	
-0.2925	-115.7	
-0.2925	-170.7	
-0.29114	-180.7	
-0.29114	-120.7	
-0.28978	-125.7	
-0.28978	-170.7	
-0.28843	-165.7	
-0.28843	-125.7	
-0.28708	-130.7	
-0.28708	-180.7	
-0.28572	-165.7	
-0.28572	-120.7	
-0.28437	-125.7	
-0.28437	-175.7	
-0.28302	-170.7	
-0.28302	-125.7	
-0.28166	-115.7	
-0.28166	-180.7	
-0.2803	-180.7	
-0.2803	-115.7	
-0.27895	-130.7	
-0.27895	-180.7	
-0.2776	-185.7	
-0.2776	-120.7	
-0.27624	-115.7	
-0.27624	-165.7	
-0.27489	-165.7	
-0.27489	-120.7	
-0.27353	-125.7	
-0.27353	-180.7	
-0.27218	-180.7	
-0.27218	-120.7	
-0.27082	-110.7	
-0.27082	-180.7	
-0.26947	-175.7	
-0.26947	-120.7	
-0.26812	-120.7	
-0.26812	-175.7	
-0.26676	-175.7	
-0.26676	-125.7	
-0.26541	-115.7	
-0.26541	-180.7	
-0.26405	-170.7	
-0.26405	-120.7	
-0.2627	-120.7	
-0.2627	-170.7	
-0.26134	-205.7	
-0.26134	-110.7	
-0.25999	-115.7	
-0.25999	-165.7	
-0.25864	-175.7	
-0.25864	-125.7	
-0.25728	-125.7	
-0.25728	-180.7	
-0.25593	-170.7	
-0.25593	-115.7	
-0.25457	-115.7	
-0.25457	-165.7	
-0.25322	-175.7	
-0.25322	-120.7	
-0.25186	-125.7	
-0.25186	-165.7	
-0.25051	-170.7	
-0.25051	-115.7	
-0.24916	-130.7	
-0.24916	-165.7	
-0.2478	-175.7	
-0.2478	-125.7	
-0.24645	-125.7	
-0.24645	-190.7	
-0.24509	-195.7	
-0.24509	-125.7	
-0.24374	-115.7	
-0.24374	-170.7	
-0.24238	-175.7	
-0.24238	-125.7	
-0.24103	-120.7	
-0.24103	-185.7	
-0.23968	-165.7	
-0.23968	-105.7	
-0.23832	-125.7	
-0.23832	-185.7	
-0.23697	-165.7	
-0.23697	-130.7	
-0.23561	-120.7	
-0.23561	-195.7	
-0.23426	-175.7	
-0.23426	-120.7	
-0.2329	-120.7	
-0.2329	-165.7	
-0.23155	-185.7	
-0.23155	-120.7	
-0.2302	-115.7	
-0.2302	-175.7	
-0.22884	-170.7	
-0.22884	-125.7	
-0.22749	-130.7	
-0.22749	-170.7	
-0.22613	-175.7	
-0.22613	-120.7	
-0.22478	-125.7	
-0.22478	-185.7	
-0.22342	-190.7	
-0.22342	-125.7	
-0.22207	-125.7	
-0.22207	-170.7	
-0.22072	-190.7	
-0.22072	-110.7	
-0.21937	-120.7	
-0.21937	-180.7	
-0.21801	-170.7	
-0.21801	-125.7	
-0.21665	-125.7	
-0.21665	-185.7	
-0.2153	-175.7	
-0.2153	-125.7	
-0.21394	-115.7	
-0.21394	-170.7	
-0.21259	-180.7	
-0.21259	-120.7	
-0.21124	-115.7	
-0.21124	-180.7	
-0.20988	-180.7	
-0.20988	-125.7	
-0.20853	-125.7	
-0.20853	-165.7	
-0.20717	-165.7	
-0.20717	-125.7	
-0.20582	-120.7	
-0.20582	-175.7	
-0.20447	-175.7	
-0.20447	-125.7	
-0.20311	-120.7	
-0.20311	-190.7	
-0.20176	-180.7	
-0.20176	-120.7	
-0.2004	-110.7	
-0.2004	-180.7	
-0.19905	-180.7	
-0.19905	-125.7	
-0.19769	-120.7	
-0.19769	-185.7	
-0.19634	-170.7	
-0.19634	-125.7	
-0.19498	-120.7	
-0.19498	-185.7	
-0.19363	-175.7	
-0.19363	-120.7	
-0.19228	-105.7	
-0.19228	-175.7	
-0.19092	-180.7	
-0.19092	-125.7	
-0.18957	-120.7	
-0.18957	-190.7	
-0.18821	-180.7	
-0.18821	-130.7	
-0.18686	-125.7	
-0.18686	-165.7	
-0.1855	-190.7	
-0.1855	-120.7	
-0.18415	-125.7	
-0.18415	-175.7	
-0.1828	-170.7	
-0.1828	-125.7	
-0.18145	-125.7	
-0.18145	-170.7	
-0.18009	-175.7	
-0.18009	-115.7	
-0.17873	-125.7	
-0.17873	-170.7	
-0.17738	-170.7	
-0.17738	-125.7	
-0.17602	-115.7	
-0.17602	-195.7	
-0.17467	-170.7	
-0.17467	-120.7	
-0.17332	-125.7	
-0.17332	-170.7	
-0.17197	-180.7	
-0.17197	-125.7	
-0.17061	-120.7	
-0.17061	-180.7	
-0.16925	-170.7	
-0.16925	-125.7	
-0.1679	-125.7	
-0.1679	-190.7	
-0.16655	-185.7	
-0.16655	-120.7	
-0.16519	-115.7	
