X - .MC:V	Y - .MC:V	
-0.36021	-18.75	
-0.35886	-18.75	
-0.35886	-12.5	
-0.3575	-11.87	
-0.3575	-18.75	
-0.35615	-22.5	
-0.35615	-12.5	
-0.35479	-13.12	
-0.35479	-20.62	
-0.35344	-20	
-0.35344	-12.5	
-0.35209	-11.25	
-0.35209	-21.87	
-0.35073	-20.62	
-0.35073	-11.25	
-0.34938	-11.87	
-0.34938	-21.87	
-0.34802	-22.5	
-0.34802	-12.5	
-0.34667	-11.87	
-0.34667	-20	
-0.34531	-20	
-0.34531	-11.25	
-0.34396	-9.373	
-0.34396	-20	
-0.34261	-22.5	
-0.34261	-12.5	
-0.34125	-12.5	
-0.34125	-21.25	
-0.33989	-21.87	
-0.33989	-12.5	
-0.33854	-11.87	
-0.33854	-21.25	
-0.33718	-18.75	
-0.33718	-12.5	
-0.33583	-9.373	
-0.33583	-20.62	
-0.33448	-19.37	
-0.33448	-11.25	
-0.33312	-11.87	
-0.33312	-19.37	
-0.33177	-20	
-0.33177	-11.87	
-0.33041	-11.25	
-0.33041	-19.37	
-0.32906	-23.75	
-0.32906	-8.747	
-0.3277	-9.373	
-0.3277	-23.75	
-0.32635	-22.5	
-0.32635	-9.998	
-0.325	-8.123	
-0.325	-19.37	
-0.32364	-21.25	
-0.32364	-8.747	
-0.32229	-8.123	
-0.32229	-20.62	
-0.32093	-23.12	
-0.32093	-6.248	
-0.31958	-7.498	
-0.31958	-18.75	
-0.31822	-23.75	
-0.31822	-6.248	
-0.31687	-6.248	
-0.31687	-24.37	
-0.31552	-25	
-0.31552	-9.373	
-0.31416	-9.373	
-0.31416	-22.5	
-0.31281	-26.25	
-0.31281	-9.373	
-0.31146	-13.12	
-0.31146	-25.62	
-0.3101	-28.75	
-0.3101	-14.37	
-0.30875	-15.62	
-0.30875	-28.75	
-0.30739	-31.25	
-0.30739	-16.25	
-0.30604	-11.87	
-0.30604	-31.25	
-0.30468	-32.5	
-0.30468	-16.25	
-0.30333	-16.25	
-0.30333	-31.87	
-0.30198	-34.37	
-0.30198	-16.87	
-0.30062	-20	
-0.30062	-35.62	
-0.29926	-34.37	
-0.29926	-22.5	
-0.29791	-19.37	
-0.29791	-34.37	
-0.29656	-34.37	
-0.29656	-20.62	
-0.2952	-22.5	
-0.2952	-35.62	
-0.29385	-35	
-0.29385	-21.87	
-0.2925	-20.62	
-0.2925	-37.5	
-0.29114	-36.87	
-0.29114	-21.87	
-0.28978	-21.87	
-0.28978	-35	
-0.28843	-36.87	
-0.28843	-19.37	
-0.28708	-22.5	
-0.28708	-36.87	
-0.28572	-38.12	
-0.28572	-23.75	
-0.28437	-21.87	
-0.28437	-38.75	
-0.28302	-38.12	
-0.28302	-24.37	
-0.28166	-21.25	
-0.28166	-39.38	
-0.2803	-38.12	
-0.2803	-23.75	
-0.27895	-25	
-0.27895	-39.38	
-0.2776	-41.87	
-0.2776	-26.25	
-0.27624	-26.25	
-0.27624	-40.62	
-0.27489	-41.25	
-0.27489	-25.62	
-0.27353	-25.62	
-0.27353	-42.5	
-0.27218	-39.38	
-0.27218	-25	
-0.27082	-21.87	
-0.27082	-42.5	
-0.26947	-38.75	
-0.26947	-23.75	
-0.26812	-26.25	
-0.26812	-43.13	
-0.26676	-41.25	
-0.26676	-26.87	
-0.26541	-26.87	
-0.26541	-41.87	
-0.26405	-41.87	
-0.26405	-26.25	
-0.2627	-28.75	
-0.2627	-41.87	
-0.26134	-45	
-0.26134	-26.87	
-0.25999	-26.25	
-0.25999	-48.12	
-0.25864	-43.75	
-0.25864	-30.62	
-0.25728	-26.87	
-0.25728	-41.87	
-0.25593	-45	
-0.25593	-27.5	
-0.25457	-26.87	
-0.25457	-42.5	
-0.25322	-45.62	
-0.25322	-22.5	
-0.25186	-29.38	
-0.25186	-45.62	
-0.25051	-44.37	
-0.25051	-27.5	
-0.24916	-29.38	
-0.24916	-45.62	
-0.2478	-41.25	
-0.2478	-26.25	
-0.24645	-25.62	
-0.24645	-41.87	
-0.24509	-40	
-0.24509	-26.87	
-0.24374	-21.25	
-0.24374	-36.87	
-0.24238	-38.12	
-0.24238	-21.25	
-0.24103	-20.62	
-0.24103	-38.12	
-0.23968	-39.38	
-0.23968	-21.87	
-0.23832	-23.12	
-0.23832	-36.25	
-0.23697	-38.12	
-0.23697	-20	
-0.23561	-20	
-0.23561	-36.25	
-0.23426	-35.62	
-0.23426	-21.25	
-0.2329	-22.5	
-0.2329	-38.75	
-0.23155	-38.75	
-0.23155	-21.87	
-0.2302	-23.12	
-0.2302	-37.5	
-0.22884	-35.62	
-0.22884	-23.12	
-0.22749	-23.12	
-0.22749	-39.38	
-0.22613	-37.5	
-0.22613	-23.75	
-0.22478	-24.37	
-0.22478	-37.5	
-0.22342	-40	
-0.22342	-23.12	
-0.22207	-19.37	
-0.22207	-36.25	
-0.22072	-41.87	
-0.22072	-21.87	
-0.21937	-23.75	
-0.21937	-33.75	
-0.21801	-41.87	
-0.21801	-22.5	
-0.21665	-21.87	
-0.21665	-41.25	
-0.2153	-41.25	
-0.2153	-21.25	
-0.21394	-23.75	
-0.21394	-36.87	
-0.21259	-36.87	
-0.21259	-21.87	
-0.21124	-21.25	
-0.21124	-37.5	
-0.20988	-38.75	
-0.20988	-22.5	
-0.20853	-21.25	
-0.20853	-36.25	
-0.20717	-42.5	
-0.20717	-22.5	
-0.20582	-23.75	
-0.20582	-36.87	
-0.20447	-36.87	
-0.20447	-23.12	
-0.20311	-22.5	
-0.20311	-38.75	
-0.20176	-39.38	
-0.20176	-22.5	
-0.2004	-24.37	
-0.2004	-45.62	
-0.19905	-41.25	
-0.19905	-19.37	
-0.19769	-22.5	
-0.19769	-36.25	
-0.19634	-36.87	
-0.19634	-20	
-0.19498	-21.25	
-0.19498	-36.87	
-0.19363	-43.75	
-0.19363	-23.12	
-0.19228	-23.75	
-0.19228	-36.87	
-0.19092	-38.75	
-0.19092	-21.87	
-0.18957	-23.12	
-0.18957	-37.5	
-0.18821	-39.38	
-0.18821	-24.37	
-0.18686	-22.5	
-0.18686	-36.25	
-0.1855	-42.5	
-0.1855	-21.25	
-0.18415	-26.25	
-0.18415	-39.38	
-0.1828	-38.75	
-0.1828	-20	
-0.18145	-22.5	
-0.18145	-40	
-0.18009	-40.62	
-0.18009	-21.87	
-0.17873	-25	
-0.17873	-41.87	
-0.17738	-36.25	
-0.17738	-22.5	
-0.17602	-19.37	
-0.17602	-38.75	
-0.17467	-40.62	
-0.17467	-23.75	
-0.17332	-23.12	
-0.17332	-39.38	
-0.17197	-43.13	
-0.17197	-22.5	
-0.17061	-21.87	
-0.17061	-41.87	
-0.16925	-40	
-0.16925	-25.62	
-0.1679	-23.12	
-0.1679	-43.75	
-0.16655	-36.25	
-0.16655	-21.87	
-0.16519	-23.75	
-0.16519	-36.87	
-0.16384	-40.62	
-0.16384	-24.37	
-0.16248	-24.37	
-0.16248	-36.87	
-0.16113	-41.25	
-0.16113	-24.37	
-0.15977	-23.12	
-0.15977	-39.38	
-0.15842	-38.75	
-0.15842	-23.75	
-0.15706	-20	
-0.15706	-38.75	
-0.15571	-39.38	
-0.15571	-25.62	
-0.15436	-21.25	
-0.15436	-35.62	
-0.153	-38.75	
-0.153	-25.62	
